Row	Source	Target
16	explain	descrivere
52	medical	salute
61	leaflet	foglio
70	contact	consultare
127	active	principio
139	use	indicare
141	treat	trattamento
145	cancer	tumore
150	cancer	tumore
156	lung	membrana
170	together	combinazione
172	cisplatin	cisplatino
175	anticancer	antitumorale
180	cancer	tumore
182	unresectable	asportabile
220	medicine	antitumorale
235	affect	interessare
246	cisplatin	cisplatino
259	own	solo
264	receive	sottoporre
300	be	qualificato
301	qualify	qualificato
306	anticancer	antitumorale
310	recommended	raccomandata
321	body	corporeo
338	once	volta
361	folic	folico
386	cisplatin	cisplatino
401	dehydration	idratazione
405	be	assumere
406	give	ricevere
411	cisplatin	cisplatino
412	dose	assunzione
432	abnormal	alterazione
435	have	riportare
443	not	sconsigliare
444	recommend	sconsigliare
481	substance	principio
499	divide	divisione
502	cancer	tumorale
535	produce	produzione
536	nucleotide	nucleotidi
539	building block	genetico
580	receive	sottoporre
585	before	precedenza
594	cisplatin	cisplatino
600	cisplatin	cisplatino
610	cancer	tumore
624	anticancer	antitumorale
630	involve	condurre
638	disease	tumore
645	past	precedenza
655	anticancer	antitumorale
663	cisplatin	cisplatino
674	receive	sottoporre
677	lung	polmonare
678	cancer	tumore
690	measure	indicatore
698	survive	sopravvivenza
725	cisplatin	cisplatino
726	survive	essere
734	compare	rispetto
740	receive	assumere
741	cisplatin	cisplatino
752	lung	polmonare
767	receive	sottoporre
820	cancer	tumore
821	be	interessare
823	affect	interessare
837	receive	trattare
846	cancer	tumore
847	be	interessare
848	affect	interessare
863	mathematical	calcolatrice
874	be	potere
935	screenshot	immagine
946	consist	essere
973	input	inserimento
994	good	migliore
1004	input	inserire
1039	look	dare
1049	look	essere
1129	parser	analizzatore
1232	instance	alternativa
1260	me	chiedere
1312	everything	cosa
1339	click	fare
1387	window	nuovo
1388	flush	pulire
1393	l	c
1415	previous	precedenza
1419	g	s
1427	type	eseguire
1434	able	potere
1447	fix	modificare
1457	s	l
1472	able	potere
1560	click	premere
1576	set	avere
1610	involve	partecipare
1612	organise	organizzazione
1624	participant	partecipare
1629	group	categoria
1640	actor	esponente
1641	include	quale
1648	voluntary	volontariato
1674	involvement	isolamento
1691	variety	gamma
1694	role	aioli
1717	galician	galizia
1734	service	servizi
1744	part	quadro
1758	humanise	umanizzare
1761	increase	migliorare
1773	senior	alto
1774	official	dirigente
1780	representative	rappresentanza
1797	metal	metallurgico
1801	banking	metallurgico
1826	relations	relazione
1845	barbara	barbaro
1848	member	deputato
1854	Maria	maría
1863	carroll	cairoti
1877	portfolio	serie
1886	present	illustrare
1887	policy	politico
1899	age	anziano
1905	place	azienda
1924	depth	approfondire
1941	employment	occupazionale
1960	key	esponente
1979	overall	comune
1996	provide	costituire
1998	backdrop	base
2012	aim	intendere
2032	perspective	punto
2045	pay	dedicare
2059	assess	documentare
2082	early	prepensionamento
2083	retirement	prepensionamento
2085	redundancy	licenziamento
2096	reintegrate	reintegrazione
2107	background	appartenenza
2113	relate	correlazione
2118	examine	considerazione
2142	state	stati
2151	france	francia
2155	greece	grecia
2215	active	principio
2216	substance	attivo
2237	line	tacca
2246	halve	divisione
2308	use	usato
2318	be	provocare
2319	know	noto
2328	supportive	supporto
2382	neurokinin	neurochinina
2404	large	numeroso
2412	out	condurre
2431	usa	america
2447	show	emergere
2464	receive	trattare
2469	dog	animale
2471	receive	trattare
2547	together	associare
2550	supportive	supporto
2602	recommended	raccomandato
2621	come	entrare
