es001.s001.t003	es001.s001.t003	bn:00108977a						
es001.s001.t004	es001.s001.t004	bn:00028015n	bn:00028017n					
es001.s001.t006	es001.s001.t006	bn:00082392v	bn:00086822v	bn:00092916v				
es001.s001.t008	es001.s001.t008	bn:00067181n	wiki:informe					
es001.s001.t009	es001.s001.t009	bn:00109211a	bn:00109212a					
es001.s001.t010	es001.s001.t010	bn:00102440a						
es001.s001.t012	es001.s001.t012	bn:00005120n	bn:00031972n					
es001.s002.t004	es001.s002.t004	bn:00087869v	bn:00087870v					
es001.s002.t007	es001.s002.t007	bn:00021015n	wiki:comité					
es001.s002.t007	es001.s002.t012	bn:00302314n						
es001.s002.t009	es001.s002.t009	bn:00031708n	bn:00054128n	bn:00061887n	wiki:medicamento	wiki:prescripción_(medicina)		
es001.s002.t011	es001.s002.t011	bn:00030627n	bn:00079370n					
es001.s002.t012	es001.s002.t012	bn:00104385a						
es001.s002.t014	es001.s002.t014	bn:00302314n						
es001.s002.t017	es001.s002.t017	bn:00082720v						
es001.s002.t019	es001.s002.t019	bn:00074790n						
es001.s002.t020	es001.s002.t020	bn:00082225v	bn:00082311v	bn:00087107v				
es001.s002.t023	es001.s002.t023	bn:00031708n	bn:00054128n	bn:00061887n	wiki:medicamento	wiki:prescripción_(medicina)		
es001.s002.t025	es001.s002.t025	bn:00084099v	bn:00086535v					
es001.s002.t027	es001.s002.t027	bn:00066562n						
es001.s002.t030	es001.s002.t030	bn:00030627n	bn:00036822n					
es001.s003.t002	es001.s003.t002	bn:00086682v	bn:00086684v					
es001.s003.t003	es001.s003.t003	bn:00116285r						
es001.s003.t004	es001.s003.t004	bn:00046705n	wiki:información					
es001.s003.t007	es001.s003.t007	bn:00002171n	bn:00027546n	bn:00045952n	bn:00071428n	wiki:enfermedad		
es001.s003.t010	es001.s003.t010	bn:00047235n	bn:00076843n	wiki:tratamiento_(medicina)				
es001.s003.t013	es001.s003.t013	bn:00110075a						
es001.s003.t016	es001.s003.t016	bn:00082418v						
es001.s003.t018	es001.s003.t018	bn:00092424v	bn:00092432v					
es001.s003.t020	es001.s003.t020	bn:02573503n	wiki:prospecto					
es001.s003.t022	es001.s003.t022	bn:00085499v	bn:00089660v	bn:00089662v				
es001.s003.t028	es001.s003.t028	bn:00082821v	bn:00092261v					
es001.s003.t031	es001.s003.t031	bn:00027976n	bn:00054116n	wiki:médico				
es001.s003.t034	es001.s003.t034	bn:00004992n	wiki:boticario	wiki:farmacéutico				
es001.s004.t002	es001.s004.t002	bn:00086682v	bn:00086684v	bn:00095628v				
es001.s004.t003	es001.s004.t003	bn:00116285r						
es001.s004.t004	es001.s004.t004	bn:00046705n	wiki:información					
es001.s004.t007	es001.s004.t007	bn:00008786n						
es001.s004.t013	es001.s004.t013	bn:00083141v						
es001.s004.t015	es001.s004.t015	bn:00066562n						
es001.s004.t017	es001.s004.t017	bn:00302314n						
es001.s004.t020	es001.s004.t020	bn:00082418v						
es001.s004.t022	es001.s004.t022	bn:00092424v	bn:00092432v					
es001.s004.t024	es001.s004.t024	bn:00005601n	wiki:debate					
es001.s004.t025	es001.s004.t025	bn:00110175a						
es001.s004.t027	es001.s004.t027	bn:00114246r						
es001.s004.t028	es001.s004.t028	bn:00085499v	bn:00089660v	bn:00089662v				
es001.s005.t003	es001.s005.t003	bn:00602447n						
es001.s006.t001	es001.s006.t001	bn:00602447n						
es001.s006.t004	es001.s006.t004	bn:00063926n						
es001.s006.t009	es001.s006.t009	bn:00090556v						
es001.s006.t011	es001.s006.t011	bn:00072760n	wiki:disolución					
es001.s006.t013	es001.s006.t013	bn:00061571n						
es001.s006.t015	es001.s006.t015	bn:00028771n						
es001.s006.t017	es001.s006.t017	bn:00057343n	bn:00079681n	wiki:vena				
es001.s007.t001	es001.s007.t001	bn:00085499v						
es001.s007.t003	es001.s007.t004	bn:00377649n	wiki:fármaco					
es001.s007.t004	es001.s007.t004	bn:00096382a	bn:00096387a					
es001.s007.t005	es001.s007.t005	bn:00602447n						
es001.s008.t004	es001.s008.t004	bn:00082705v	bn:00089140v					
es001.s008.t005	es001.s008.t005	bn:00602447n						
es001.s009.t001	es001.s009.t001	bn:00602447n						
es001.s009.t003	es001.s009.t003	bn:00087644v						
es001.s009.t006	es001.s009.t006	bn:00047235n	bn:00076843n	wiki:tratamiento_(medicina)				
es001.s009.t009	es001.s009.t009	bn:00035907n	bn:00073211n	bn:00078798n	bn:00078799n	wiki:tipo_nomenclatural		
es001.s009.t011	es001.s009.t011	bn:00015180n	wiki:cáncer					
es001.s009.t013	es001.s009.t013	bn:00054512n	wiki:mesotelioma					
es001.s009.t014	es001.s009.t014	bn:00108692a						
es001.s009.t016	es001.s009.t016	bn:00015180n	wiki:cáncer					
es001.s009.t018	es001.s009.t018	bn:00020185n	wiki:recubrimiento					
es001.s009.t021	es001.s009.t021	bn:00052341n	wiki:pulmón					
es001.s009.t022	es001.s009.t022	bn:00084069v	bn:00084699v					
es001.s009.t023	es001.s009.t023	bn:00114634r	bn:00114778r					
