Start	Finish	BN Synset
i001.s001.t002	i001.s001.t002	bn:00028015n
i001.s001.t005	i001.s001.t005	bn:00075142n
i001.s001.t008	i001.s001.t008	bn:00067181n
i001.s001.t009	i001.s001.t009	bn:00109211a
i001.s001.t011	i001.s001.t011	bn:00006502n
i001.s001.t012	i001.s001.t012	bn:00102440a
i001.s002.t003	i001.s002.t003	bn:00087869v
i001.s002.t009	i001.s002.t009	bn:00021015n
i001.s002.t012	i001.s002.t012	bn:00106556a
i001.s002.t014	i001.s002.t014	bn:00030627n
i001.s002.t015	i001.s002.t015	bn:00104385a
i001.s002.t017	i001.s002.t017	bn:00302314n
i001.s002.t020	i001.s002.t020	bn:00082720v
i001.s002.t022	i001.s002.t022	bn:00074790n
i001.s002.t024	i001.s002.t024	bn:00087107v
i001.s002.t027	i001.s002.t027	bn:00082226v
i001.s002.t029	i001.s002.t029	bn:00066562n
i001.s002.t032	i001.s002.t032	bn:00082705v
i001.s002.t034	i001.s002.t034	bn:00054128n
i001.s003.t002	i001.s003.t002	bn:00106935a
i001.s003.t003	i001.s003.t003	bn:00025314n
i001.s003.t007	i001.s003.t007	bn:00021648n
i001.s003.t009	i001.s003.t009	bn:00106555a
i001.s003.t012	i001.s003.t012	bn:00047235n
i001.s003.t014	i001.s003.t014	bn:00092424v
i001.s003.t016	i001.s003.t017	bn:00012133n
i001.s003.t024	i001.s003.t024	bn:00085696v
i001.s003.t024	i001.s003.t029	bn:00004992n
i001.s003.t026	i001.s003.t026	bn:00027976n
i001.s004.t002	i001.s004.t002	bn:00106935a
i001.s004.t003	i001.s004.t003	bn:00025314n
i001.s004.t008	i001.s004.t008	bn:00066562n
i001.s004.t010	i001.s004.t010	bn:00302314n
i001.s004.t012	i001.s004.t012	bn:00092424v
i001.s004.t014	i001.s004.t014	bn:00027523n
i001.s004.t015	i001.s004.t015	bn:00110175a
i001.s004.t017	i001.s004.t017	bn:00114246r
i001.s005.t004	i001.s005.t004	bn:00602447n
i001.s006.t001	i001.s006.t001	bn:00602447n
i001.s006.t004	i001.s006.t004	bn:00063926n
i001.s006.t006	i001.s006.t012	bn:00087306v
i001.s006.t008	i001.s006.t008	bn:00072760n
i001.s006.t010	i001.s006.t010	bn:00046734n
i001.s006.t017	i001.s006.t017	bn:00079681n
i001.s007.t001	i001.s007.t001	bn:00085499v
i001.s007.t003	i001.s007.t003	bn:00096387a
i001.s007.t004	i001.s007.t004	bn:00074986n
i001.s007.t005	i001.s007.t005	bn:00602447n
i001.s008.t005	i001.s008.t005	bn:00082705v
i001.s008.t006	i001.s008.t006	bn:00602447n
i001.s009.t001	i001.s009.t001	bn:00602447n
i001.s009.t003	i001.s009.t003	bn:00082705v
i001.s009.t005	i001.s009.t005	bn:00084532v
i001.s009.t008	i001.s009.t008	bn:00078798n
i001.s009.t010	i001.s009.t010	bn:00015180n
i001.s009.t013	i001.s009.t013	bn:00054512n
i001.s009.t014	i001.s009.t014	bn:00108692a
i001.s009.t016	i001.s009.t016	bn:00015180n
i001.s009.t018	i001.s009.t022	bn:00052341n
i001.s009.t024	i001.s009.t024	bn:00114778r
