Row	Source	Target
17	explain	descrivere
18	how	modo
33	perform	effettuare
50	more	maggiore
52	about	riguardare
53	you	proprio
54	medical	salute
63	leaflet	foglio
72	contact	consultare
82	more	maggiore
105	what	cosa
133	active	principio
135	pemetrex	pemetrexed
138	what	cosa
147	use	indicare
149	treat	trattamento
190	unresectable	asportabile
192	cannot	potere
200	malignant	maligno
228	medicine	antitumorale
232	before	precedenza
242	affect	interessare
244	squamous_cell	squamoso
266	own	solo
271	receive	sottoporre
299	should	dovere
302	give	somministrare
310	be	qualificato
311	qualify	qualificato
321	recommend	raccomandata
329	square_metre	metro
331	body	corporeo
362	side_effect	effetto
365	should	dovere
370	folic_acid	folico
382	vitamin_b12	b12
392	give	somministrare
411	should	dovere
413	be	assumere
414	give	ricevere
420	dose	assunzione
424	should	dovere
440	abnormal	alterazione
443	have	riportare
446	side_effect	effetto
451	not	sconsigliare
452	recommend	sconsigliare
466	more	maggiore
492	substance	principio
496	pemetrex	pemetrexed
510	divide	divisione
514	cancer_cell	tumorale
528	pemetrex	pemetrexed
546	produce	produzione
550	building_block	genetico
568	study	effettuare
575	malignant	maligno
593	receive	sottoporre
598	before	precedenza
622	non-small	piccolo
624	lung_cancer	tumore
644	involve	condurre
652	disease	tumore
659	past	precedenza
674	both	entrambi
689	receive	sottoporre
692	lung_cancer	polmonare
705	measure	indicatore
709	how	tempo
713	survive	sopravvivenza
721	during	corso
734	malignant	maligno
752	compare	rispetto
758	receive	assumere
769	non-small	piccolo
771	lung_cancer	polmonare
786	receive	sottoporre
829	both	entrambi
836	both	entrambi
842	be	interessare
844	affect	interessare
845	squamous_cell	squamoso
857	receive	trattare
862	in	invece
868	be	interessare
869	affect	interessare
870	squamous_cell	squamoso
895	be	potere
898	make	eseguire
909	representate	rappresentare
951	little	minimo
959	screenshot	immagine
970	consist	comporre
998	input	inserimento
1001	type	scrivere
1013	to	comprendere
1030	input	inserire
1046	i	avere
1051	basically	praticamente
1053	common_sense	comune
1056	should	dovere
1064	i	avere
1066	look	dare
1069	maximum	maxima
1076	look	essere
1077	very	abbastanza
1103	both	entrambi
1129	it	essere
1158	parser	analizzatore
1177	will	essere
1190	will	essere
1225	operation	condizionale
1231	we	introdurre
1235	before	primo
1239	will	essere
1258	will	venire
1284	work	funzione
1290	you	potere
1291	could	potere
1293	i	chiedere
1296	should	dovere
1300	about	conoscere
1310	we	potere
1326	()	sum
1329	()	product
1342	we	potere
1349	everything	cosa
1366	you	essere
1378	click	clic
1381	you	potere
1405	you	inserire
1416	will	essere
1428	window	nuovo
1430	flush	pulire
1436	l	c
1449	nice	buono
1460	previous	precedenza
1465	g	s
1474	type	eseguire
1478	begin	inizio
1481	able	potere
1487	text_file	testo
1494	fix	modificare
1497	text_editor	testo
1504	s	l
1520	able	potere
1521	to	stampare
1547	you	dovere
1560	click	clic
1575	will	essere
1583	you	potere
1585	type	scrivere
1605	it	specificare
1609	you	avere
1614	click	premere
1629	you	potere
1631	set	avere
1653	you	potere
1668	involve	partecipare
1683	participant	partecipare
1687	interest_group	categoria
1699	include	quale
1706	voluntary	volontariato
1732	involvement	isolamento
1750	variety	gamma
1753	role	aioli
1794	service	servizi
1805	part	quadro
1819	humanise	umanizzare
1821	while	migliorare
1822	increase	migliorare
1835	senior	alto
1836	official	dirigente
1842	representative	rappresentanza
1857	sector	industriale
1860	metal	metallurgico
1871	key	principale
1892	social_affair	sociale
1898	gome	gomes
1908	barbara	barbaro
1911	member	deputato
1917	marium	maría
1918	gil-roble	gil-delgado
1926	carroll	cairoti
1934	case_study	studio
1940	portfolio	serie
1949	present	illustrare
1950	policy	politico
1968	place	azienda
1988	depth	approfondire
1989	case_study	caso
1993	case_study	studio
2004	employment	occupazionale
2005	pattern	occupazionale
2024	key	esponente
2034	will	sfociare
2044	overall	comune
2048	the	questo
2052	casebook	raccolta
2055	will	essere
2061	provide	costituire
2063	backdrop	base
2069	stage	pubblicare
2078	aim	intendere
2079	to	documentare
2086	in	inerente
2094	they	analizzare
2099	perspective	punto
2109	with	dedicare
2112	pay	dedicare
2115	for	volto
2121	thirdly	luogo
2137	which	volta
2138	combat	lottare
2143	for	favore
2151	early	prepensionamento
2152	retirement	prepensionamento
2165	reintegrate	riqualificazione
2177	background	appartenenza
2183	relate	correlazione
2188	examine	considerazione
2197	combat	lottare
2213	state	stati
2233	the	unito
2238	this	presente
2262	cvmp	epar
2289	active	principio
2290	substance	attivo
2307	pale-orange	arancione
2312	line	tacca
2314	both	entrambi
2321	halve	divisione
2351	what	cosa
2380	as	esempio
2387	use	usato
2396	which	quale
2397	be	provocare
2398	know	noto
2409	measure	terapia
2411	as	esempio
2450	give	somministrare
2466	neurokinin	neurochinina
2477	central_nervous_system	centrale
2488	large_number	numeroso
2494	carry_out	condurre
2508	european_country	europeo
2520	during	corso
2530	show	emergere
2547	receive	trattare
2550	than	rispetto
2552	dog	animale
2554	receive	trattare
2576	should	dovere
2586	might	potere
2630	should	dovere
2680	period_of_time	tempo
2687	recommend	raccomandato
2703	give	somministrare
