Start	Finish	BN Synset
es001.s001.t004	es001.s001.t004	bn:00028015n
es001.s001.t006	es001.s001.t006	bn:00075142n
es001.s001.t008	es001.s001.t008	bn:00067181n
es001.s001.t009	es001.s001.t009	bn:00109211a
es001.s001.t010	es001.s001.t010	bn:00102440a
es001.s001.t012	es001.s001.t012	bn:00006502n
es001.s002.t003	es001.s002.t004	bn:00087869v
es001.s002.t007	es001.s002.t007	bn:00021015n
es001.s002.t009	es001.s002.t009	bn:00064584n
es001.s002.t009	es001.s002.t012	bn:00106556a
es001.s002.t011	es001.s002.t011	bn:00030627n
es001.s002.t012	es001.s002.t012	bn:00104385a
es001.s002.t014	es001.s002.t014	bn:00302314n
es001.s002.t017	es001.s002.t017	bn:00082720v
es001.s002.t019	es001.s002.t019	bn:00074790n
es001.s002.t020	es001.s002.t020	bn:00087107v
es001.s002.t023	es001.s002.t023	bn:00054128n
es001.s002.t025	es001.s002.t025	bn:00082226v
es001.s002.t027	es001.s002.t027	bn:00066562n
es001.s002.t030	es001.s002.t030	bn:00082705v
es001.s003.t002	es001.s003.t002	bn:00091028v
es001.s003.t003	es001.s003.t003	bn:00106935a
es001.s003.t004	es001.s003.t004	bn:00025314n
es001.s003.t007	es001.s003.t007	bn:00021648n
es001.s003.t010	es001.s003.t010	bn:00047235n
es001.s003.t018	es001.s003.t018	bn:00092424v
es001.s003.t020	es001.s003.t020	bn:00013882n
es001.s003.t022	es001.s003.t022	bn:00114246r
es001.s003.t028	es001.s003.t028	bn:00085696v
es001.s003.t031	es001.s003.t031	bn:00027976n
es001.s003.t033	es001.s003.t034	bn:00004992n
es001.s004.t002	es001.s004.t002	bn:00086682v
es001.s004.t003	es001.s004.t003	bn:00106935a
es001.s004.t004	es001.s004.t004	bn:00025314n
es001.s004.t007	es001.s004.t007	bn:00008786n
es001.s004.t015	es001.s004.t015	bn:00066562n
es001.s004.t017	es001.s004.t017	bn:00302314n
es001.s004.t022	es001.s004.t022	bn:00092424v
es001.s004.t024	es001.s004.t024	bn:00027523n
es001.s004.t025	es001.s004.t025	bn:00110175a
es001.s004.t027	es001.s004.t027	bn:00114246r
es001.s004.t028	es001.s004.t028	bn:00021395n
es001.s005.t003	es001.s005.t003	bn:00602447n
es001.s006.t001	es001.s006.t001	bn:00602447n
es001.s006.t004	es001.s006.t004	bn:00063926n
es001.s006.t009	es001.s006.t009	bn:00083187v
es001.s006.t011	es001.s006.t011	bn:00072760n
es001.s006.t013	es001.s006.t013	bn:00046734n
es001.s006.t015	es001.s006.t015	bn:00087306v
es001.s006.t017	es001.s006.t017	bn:00079681n
es001.s007.t001	es001.s007.t001	bn:00085499v
es001.s007.t003	es001.s007.t003	bn:00074986n
es001.s007.t004	es001.s007.t004	bn:00096387a
es001.s007.t005	es001.s007.t005	bn:00602447n
es001.s008.t004	es001.s008.t004	bn:00082705v
es001.s008.t005	es001.s008.t005	bn:00602447n
es001.s009.t001	es001.s009.t001	bn:00602447n
es001.s009.t003	es001.s009.t003	bn:00082705v
es001.s009.t006	es001.s009.t006	bn:00084532v
es001.s009.t009	es001.s009.t009	bn:00078798n
es001.s009.t011	es001.s009.t011	bn:00015180n
es001.s009.t013	es001.s009.t013	bn:00054512n
es001.s009.t014	es001.s009.t014	bn:00108692a
es001.s009.t016	es001.s009.t016	bn:00015180n
es001.s009.t018	es001.s009.t018	bn:00051366n
es001.s009.t021	es001.s009.t021	bn:00052341n
es001.s009.t022	es001.s009.t022	bn:00084069v
es001.s009.t023	es001.s009.t023	bn:00114778r
es001.s009.t026	es001.s009.t026	bn:00032379n
es001.s009.t028	es001.s009.t028	bn:00006236n
es001.s010.t001	es001.s010.t001	bn:00602447n
es001.s010.t003	es001.s010.t003	bn:00082705v
es001.s010.t007	es001.s010.t007	bn:00577781n
es001.s010.t010	es001.s010.t010	bn:00054128n
es001.s010.t010	es001.s010.t064	bn:00054128n
es001.s010.t011	es001.s010.t011	bn:00097220a
es001.s010.t013	es001.s010.t013	bn:00015180n
es001.s010.t026	es001.s010.t026	bn:00092783v
es001.s010.t027	es001.s010.t027	bn:00096871a
es001.s010.t029	es001.s010.t029	bn:00059129n
es001.s010.t034	es001.s010.t034	bn:00106363a
es001.s010.t039	es001.s010.t039	bn:00092083v
es001.s010.t039	es001.s010.t083	bn:00082427v
es001.s010.t043	es001.s010.t043	bn:00105981a
es001.s010.t046	es001.s010.t046	bn:00092083v
es001.s010.t047	es001.s010.t047	bn:00115155r
es001.s010.t050	es001.s010.t050	bn:00108011a
es001.s010.t051	es001.s010.t051	bn:00021395n
es001.s010.t053	es001.s010.t053	bn:00011744n
es001.s010.t057	es001.s010.t057	bn:00061017n
es001.s010.t059	es001.s010.t059	bn:00116360r
es001.s010.t061	es001.s010.t061	bn:00087863v
es001.s010.t062	es001.s010.t062	bn:00018141n
es001.s010.t067	es001.s010.t067	bn:00015180n
es001.s010.t071	es001.s010.t071	bn:00015180n
es001.s010.t078	es001.s010.t078	bn:00096528a
es001.s010.t080	es001.s010.t080	bn:00106664a
es001.s010.t082	es001.s010.t082	bn:00116360r
es001.s010.t086	es001.s010.t088	bn:00017027n
es001.s011.t001	es001.s011.t001	bn:00602447n
es001.s011.t003	es001.s011.t003	bn:00082705v
es001.s011.t005	es001.s011.t005	bn:00020872n
es001.s011.t007	es001.s011.t007	bn:00577781n
es001.s011.t009	es001.s011.t009	bn:00061017n
es001.s011.t011	es001.s011.t011	bn:00116360r
es001.s011.t014	es001.s011.t014	bn:00084532v
es001.s011.t020	es001.s011.t020	bn:00061017n
es001.s011.t023	es001.s011.t023	bn:00087863v
es001.s011.t025	es001.s011.t025	bn:00060927n
es001.s011.t028	es001.s011.t028	bn:00078798n
es001.s011.t030	es001.s011.t030	bn:00018141n
es001.s012.t002	es001.s012.t002	bn:00054128n
es001.s012.t002	es001.s012.t005	bn:00082276v
es001.s012.t003	es001.s012.t003	bn:00116450r
es001.s012.t007	es001.s012.t008	bn:00064195n
es001.s013.t003	es001.s013.t003	bn:00082705v
es001.s013.t004	es001.s013.t004	bn:00602447n
es001.s014.t001	es001.s014.t001	bn:00602447n
es001.s014.t002	es001.s014.t002	bn:00116450r
es001.s014.t004	es001.s014.t004	bn:00088826v
es001.s014.t007	es001.s014.t007	bn:00059908n
es001.s014.t010	es001.s014.t010	bn:00027976n
es001.s014.t014	es001.s014.t014	bn:00030627n
es001.s014.t016	es001.s014.t016	bn:00018141n
es001.s014.t017	es001.s014.t019	bn:00097220a
es001.s015.t002	es001.s015.t002	bn:00028320n
es001.s015.t005	es001.s015.t005	bn:00602447n
es001.s015.t009	es001.s015.t009	bn:00054701n
es001.s015.t011	es001.s015.t011	bn:00052501n
es001.s015.t012	es001.s015.t012	bn:00005518n
es001.s015.t014	es001.s015.t014	bn:00075374n
