Token ID,Token,Lemma,GSMS,Farsi Token,Farsi Lemma,POS FAR,BN Synset,Correct?,Synonyms?,BN Gloss,Token ID FAR,Annotator notes,Farsi Lemma - BN Synset,Farsi Lemma - BN Gloss,English Lemma - WN Synsets,English Lemma - WN Glosses,English Lemma - BN Synsets,English Lemma - BN Glosses
d001.s001.t001,This,,X,این,این,DET,n/a,,,n/a,d001.s001.t001,,,,,,,
d001.s001.t002,document,document,N,سند,سند,NOUN,bn:00028015n,1,,Writing that provides information (especially information of an official nature),d001.s001.t002,,,,,,,
d001.s001.t003,is,be,V,است,است,VERB,n/a,,,n/a,d001.s001.t012,,,,,,,
d001.s001.t004,a,,X,خلاصه‌ای,خلاصه,NOUN,n/a,,0,n/a,d001.s001.t003,,,,,,,
d001.s001.t005,summary,summary,N,خلاصه‌ای,خلاصه,NOUN,bn:00075142n,1,,A brief statement that presents the main points in a concise form,d001.s001.t003,,,,,,,
d001.s001.t006,of,,X,از,از,ADP,n/a,,,n/a,d001.s001.t004,,,,,,,
d001.s001.t007,the,,X,,,,n/a,,,n/a,,,,,,,,
d001.s001.t008,European,european,J,اروپا,اروپا,NOUN,bn:00102440a,0,0,Of or relating to or characteristic of Europe or the people of Europe,d001.s001.t008,POS mismatch,bn:03242180n;bn:00422777n;bn:00031894n;bn:00031896n,"In Greek mythology, Europa was the mother of King Minos of Crete, a woman with Phoenician origin of high lineage, and after whom the continent Europe was named.        ;Europa is a 1991 Danish art drama film directed by Lars von Trier.        ;The 4th largest of Jupiter's satellites; covered with a smooth shell of frozen water        ;The 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles",wn:02968325a,of or relating to or characteristic of Europe or the people of Europe,,
d001.s001.t009,Public,public,J,عمومی,عمومی,"ADJ,EZ",bn:00109211a,1,,Not private; open to or concerning the people as a whole,d001.s001.t007,,,,,,,
d001.s001.t010,Assessment,assessment,N,ارزیابی,ارزیابی,"NOUN,EZ",bn:00006502n,1,,The act of judging or assessing a person or situation or event,d001.s001.t006,,,,,,,
d001.s001.t011,Report,report,N,گزارش,گزارش,"NOUN,EZ",bn:00067181n,1,,A written document describing the findings of some individual or group,d001.s001.t005,,,,,,,
d001.s001.t012,(,,X,(,(,PUNCT,n/a,,,n/a,d001.s001.t009,,,,,,,
d001.s001.t013,EPAR,epar,N,EPAR,EPAR,NOUN,n/a,,,n/a,d001.s001.t010,,,,,,,
d001.s001.t014,),,X,),),PUNCT,n/a,,,n/a,d001.s001.t011,,,,,,,
d001.s001.t015,.,,X,.,.,PUNCT,n/a,,,n/a,d001.s001.t013,,,,,,,
d001.s002.t001,It,,X,این,این,PRON,n/a,,,n/a,d001.s002.t001,,,,,,,
d001.s002.t002,explains,explain,V,توضیح➕می‌دهد,توضیح➕داد#ده,NOUN➕VERB,bn:00087869v,1,,Make plain and comprehensible,d001.s002.t002➕d001.s002.t003,,,,,,,
d001.s002.t003,how,,X,چگونه,چگونه,ADV,n/a,,,n/a,d001.s002.t005,,,,,,,
d001.s002.t004,the,,X,که,که,SCONJ,n/a,,,n/a,d001.s002.t004,,,,,,,
d001.s002.t005,Committee,committee,N,کمیته,کمیته,"NOUN,EZ",bn:00021015n,1,,A special group delegated to consider some matter - Milton Berle,d001.s002.t006,,,,,,,
d001.s002.t006,for,,X,,,,n/a,,,n/a,,,,,,,,
d001.s002.t007,Medicinal,medicinal,J,دارویی,دارویی,ADJ,bn:00106556a,1,,Having the properties of medicine,d001.s002.t008,,,,,,,
d001.s002.t008,Products,product,N,محصولات,محصولات,"NOUN,EZ",bn:00064584n,1,,An artifact that has been created by someone or some process,d001.s002.t007,Farsi Lemma is wrong.,,,,,,
d001.s002.t009,for,,X,برای,برای,"ADP,EZ",n/a,,,n/a,d001.s002.t009,,,,,,,
d001.s002.t010,Human,human,J,انسانی,انسانی,ADJ,bn:00104385a,1,,Relating to a person,d001.s002.t011,,,,,,,
d001.s002.t011,Use,use,N,استفاده,استفاده,"NOUN,EZ",bn:00030627n,1,,The act of using,d001.s002.t010,,,,,,,
d001.s002.t012,(,,X,(,(,PUNCT,n/a,,,n/a,d001.s002.t012,,,,,,,
d001.s002.t013,CHMP,chmp,N,CHMP,CHMP,NOUN,bn:00302314n,1,,"The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.",d001.s002.t013,,,,,,,
d001.s002.t014,),,X,),),PUNCT,n/a,,,n/a,d001.s002.t014,,,,,,,
