d001.s001.t003 bn:00108977a
d001.s001.t004 bn:00028015n
d001.s001.t006 bn:00094585v
d001.s001.t008 bn:00067181n
d001.s001.t009 bn:00109211a
d001.s001.t010 bn:00102440a
d001.s002.t004 bn:00087870v
d001.s002.t007 bn:00021015n
d001.s002.t009 bn:00028872n
d001.s002.t011 bn:00030627n
d001.s002.t012 bn:00104386a
d001.s002.t017 bn:00082720v
d001.s002.t019 bn:00074790n
d001.s002.t020 bn:00096276a
d001.s002.t023 bn:00028872n
d001.s002.t025 bn:00086535v
d001.s002.t027 bn:00066562n
d001.s003.t002 bn:00086682v
d001.s003.t003 bn:00116284r
d001.s003.t004 bn:00046698n
d001.s003.t007 bn:00045952n
d001.s003.t010 bn:00047235n
d001.s003.t016 bn:00084932v
d001.s003.t018 bn:00092424v
d001.s003.t020 bn:00023292n
d001.s003.t022 bn:00102195a
d001.s003.t025 bn:00026716n
d001.s003.t028 bn:00116326r
d001.s003.t031 bn:00027976n
d001.s003.t034 bn:00004992n
d001.s004.t002 bn:00086682v
d001.s004.t003 bn:00116284r
d001.s004.t004 bn:00046698n
d001.s004.t007 bn:00036063n
d001.s004.t013 bn:00083141v
d001.s004.t015 bn:00066562n
d001.s004.t020 bn:00084785v
d001.s004.t022 bn:00092424v
d001.s004.t024 bn:00025621n
d001.s004.t025 bn:00110176a
d001.s004.t027 bn:00114246r
d001.s004.t028 bn:00102195a
d001.s004.t031 bn:00078738n
d001.s005.t003 bn:00053569n
d001.s006.t001 bn:00027142n
d001.s006.t004 bn:00063926n
d001.s006.t009 bn:00088250v
d001.s006.t011 bn:00072760n
d001.s006.t013 bn:00061571n
d001.s006.t015 bn:00028710n
d001.s006.t017 bn:00079681n
d001.s007.t001 bn:00085499v
d001.s007.t003 bn:00064429n
d001.s007.t004 bn:00096387a
d001.s007.t005 bn:00096374a
d001.s008.t004 bn:00082705v
d001.s008.t005 bn:00018552n
d001.s009.t001 bn:00076647n
d001.s009.t003 bn:00096449a
d001.s009.t006 bn:00047235n
d001.s009.t009 bn:00035907n
d001.s009.t011 bn:00015180n
d001.s009.t013 bn:00054512n
d001.s009.t014 bn:00108692a
d001.s009.t018 bn:00059888n
d001.s009.t021 bn:00052341n
d001.s009.t022 bn:00100607a
d001.s009.t023 bn:00114778r
d001.s009.t026 bn:00032375n
d001.s009.t028 bn:00006236n
d001.s010.t001 bn:00004628n
d001.s010.t003 bn:00082365v
d001.s010.t005 bn:00020872n
d001.s010.t007 bn:00028512n
d001.s010.t010 bn:00028872n
d001.s010.t013 bn:00015180n
d001.s010.t017 bn:00057267n
d001.s010.t019 bn:00116360r
d001.s010.t021 bn:00101262a
d001.s010.t026 bn:00088195v
d001.s010.t027 bn:00114234r
d001.s010.t029 bn:00059129n
d001.s010.t034 bn:00106363a
d001.s010.t039 bn:00087535v
d001.s010.t043 bn:00105982a
d001.s010.t047 bn:00115155r
d001.s010.t051 bn:00060765n
d001.s010.t053 bn:00011744n
d001.s010.t057 bn:00061017n
d001.s010.t061 bn:00089246v
d001.s010.t062 bn:00018141n
d001.s010.t064 bn:00028872n
d001.s010.t069 bn:00114297r
d001.s010.t073 bn:00052341n
d001.s010.t076 bn:00106282a
d001.s010.t078 bn:00096534a
d001.s010.t080 bn:00106664a
d001.s010.t083 bn:00082427v
d001.s010.t086 bn:00017027n
