d001.s001.t002	d001.s001.t002	bn:00028015n						
d001.s001.t005	d001.s001.t005	bn:00075142n						
d001.s001.t008	d001.s001.t008	bn:00067181n	bn:08904168n	wiki:relazione_(testo)	wiki:report_informativo			
d001.s001.t009	d001.s001.t009	bn:00109211a						
d001.s001.t011	d001.s001.t011	bn:00005120n	bn:00031972n					
d001.s001.t012	d001.s001.t012	bn:00102440a						
d001.s002.t003	d001.s002.t003	bn:00086612v						
d001.s002.t005	d001.s002.t005	bn:00001965n						
d001.s002.t009	d001.s002.t009	bn:00011638n	bn:00021015n	wiki:comitato_(collegio)				
d001.s002.t009	d001.s002.t015	bn:00302314n						
d001.s002.t012	d001.s002.t012	bn:00054128n	bn:00061887n	wiki:farmaco				
d001.s002.t014	d001.s002.t014	bn:00030627n	bn:00079370n					
d001.s002.t015	d001.s002.t015	bn:00104385a						
d001.s002.t017	d001.s002.t017	bn:00302314n						
d001.s002.t020	d001.s002.t020	bn:00082720v						
d001.s002.t022	d001.s002.t022	bn:00074790n						
d001.s002.t022	d001.s002.t023	bn:00069678n	wiki:metodo_scientifico					
d001.s002.t023	d001.s002.t023	bn:00110175a						
d001.s002.t024	d001.s002.t024	bn:00082225v	bn:00082311v					
d001.s002.t027	d001.s002.t027	bn:00082799v						
d001.s002.t029	d001.s002.t029	bn:00001592n	bn:00066562n					
d001.s002.t032	d001.s002.t032	bn:00082705v	bn:00089140v					
d001.s002.t034	d001.s002.t034	bn:00054128n	bn:00061887n	wiki:farmaco				
d001.s003.t002	d001.s003.t002	bn:00104887a						
d001.s003.t003	d001.s003.t003	bn:00046705n	bn:00057548n	wiki:informazione				
d001.s003.t004	d001.s003.t004	bn:00083240v						
d001.s003.t006	d001.s003.t006	bn:00096707a						
d001.s003.t007	d001.s003.t007	bn:00021644n	bn:00021648n					
d001.s003.t012	d001.s003.t012	bn:00047235n	bn:00076843n	wiki:terapia				
d001.s003.t014	d001.s003.t014	bn:00092424v						
d001.s003.t016	d001.s003.t016	bn:00062308n						
d001.s003.t016	d001.s003.t017	bn:02573503n	wiki:foglietto_illustrativo					
d001.s003.t019	d001.s003.t019	bn:00082893v						
d001.s003.t024	d001.s003.t024	bn:00085574v	bn:00093431v					
d001.s003.t026	d001.s003.t026	bn:00027976n	bn:00054116n	wiki:medico				
d001.s003.t029	d001.s003.t029	bn:00004992n	wiki:farmacista	wiki:speziale				
d001.s004.t002	d001.s004.t002	bn:00104887a						
d001.s004.t003	d001.s004.t003	bn:00046705n	bn:00057548n	wiki:informazione				
d001.s004.t004	d001.s004.t004	bn:00066865n						
d001.s004.t006	d001.s004.t006	bn:00048673n						
d001.s004.t008	d001.s004.t008	bn:00001592n	bn:00066562n					
d001.s004.t010	d001.s004.t010	bn:00302314n						
d001.s004.t012	d001.s004.t012	bn:00092424v						
d001.s004.t014	d001.s004.t014	bn:00005601n	bn:00027523n	wiki:dibattito				
d001.s004.t015	d001.s004.t015	bn:00110175a						
d001.s004.t019	d001.s004.t019	bn:00082893v						
d001.s005.t002	d001.s005.t002	bn:00076924n						
d001.s005.t004	d001.s005.t004	bn:00602447n						
d001.s006.t001	d001.s006.t001	bn:00602447n						
d001.s006.t004	d001.s006.t004	bn:00029192n	bn:00063926n	wiki:polvere				
d001.s006.t006	d001.s006.t006	bn:00092532v						
d001.s006.t008	d001.s006.t008	bn:00072760n	wiki:soluzione_(chimica)					
d001.s006.t010	d001.s006.t010	bn:08927651n	wiki:infusione_(medicina)					
d001.s006.t012	d001.s006.t012	bn:00046787n	wiki:iniezione_(medicina)					
d001.s006.t013	d001.s006.t013	bn:00548470n						
d001.s006.t015	d001.s006.t015	bn:00548470n						
d001.s006.t017	d001.s006.t017	bn:00079681n	wiki:vena					
d001.s007.t001	d001.s007.t001	bn:00083225v	bn:00085499v					
d001.s007.t003	d001.s007.t004	bn:00377649n	wiki:principio_attivo					
d001.s007.t004	d001.s007.t004	bn:00096387a						
d001.s007.t005	d001.s007.t005	bn:00602447n						
d001.s008.t005	d001.s008.t005	bn:00082705v	bn:00089140v					
d001.s008.t006	d001.s008.t006	bn:00602447n						
d001.s009.t001	d001.s009.t001	bn:00602447n						
d001.s009.t003	d001.s009.t003	bn:00089682v						
d001.s009.t005	d001.s009.t005	bn:00047235n						
d001.s009.t007	d001.s009.t007	bn:00000075n	wiki:2_(numero)					
d001.s009.t008	d001.s009.t008	bn:00035907n	bn:00078798n					
d001.s009.t010	d001.s009.t010	bn:00057267n	wiki:neoplasia					
d001.s009.t013	d001.s009.t013	bn:00054512n	wiki:mesotelioma					
d001.s009.t014	d001.s009.t014	bn:00108692a						
d001.s009.t016	d001.s009.t016	bn:00057267n	wiki:neoplasia					
d001.s009.t018	d001.s009.t018	bn:00054285n	bn:00070625n	wiki:membrana_sierosa				
d001.s009.t022	d001.s009.t022	bn:00052341n	wiki:polmone					
d001.s009.t024	d001.s009.t024	bn:00114778r						
d001.s009.t025	d001.s009.t025	bn:00084069v	bn:00084699v					
d001.s009.t027	d001.s009.t027	bn:00032375n						
d001.s009.t029	d001.s009.t029	bn:00006236n	wiki:asbesto					
d001.s010.t001	d001.s010.t001	bn:00602447n						
d001.s010.t003	d001.s010.t003	bn:00082705v						
d001.s010.t005	d001.s010.t005	bn:00020872n						
d001.s010.t007	d001.s010.t007	bn:00577781n	wiki:cisplatino					
d001.s010.t010	d001.s010.t010	bn:00097165a	bn:00101348a	bn:00108011a				
d001.s010.t011	d001.s010.t011	bn:00024461n	bn:00054128n	bn:00061887n	wiki:farmaco			
d001.s010.t016	d001.s010.t016	bn:00057267n	wiki:neoplasia					
d001.s010.t019	d001.s010.t019	bn:00109675a						
d001.s010.t024	d001.s010.t024	bn:00082144v	bn:00092783v					
d001.s010.t028	d001.s010.t028	bn:00059129n	wiki:chirurgia					
d001.s010.t028	d001.s010.t029	bn:00059129n	wiki:chirurgia					
d001.s010.t029	d001.s010.t029	bn:00107916a						
d001.s010.t033	d001.s010.t033	bn:00106363a						
d001.s010.t037	d001.s010.t037	bn:00093332v						
d001.s010.t041	d001.s010.t041	bn:00105981a	bn:00105982a					
d001.s010.t043	d001.s010.t043	bn:00093332v						
d001.s010.t044	d001.s010.t044	bn:00115155r	bn:00116794r					
d001.s010.t048	d001.s010.t048	bn:00060765n						
d001.s010.t048	d001.s010.t050	bn:00011769n						
d001.s010.t050	d001.s010.t050	bn:00011744n	wiki:corpo_(anatomia)					
d001.s010.t054	d001.s010.t054	bn:00061017n	wiki:paziente					
d001.s010.t061	d001.s010.t061	bn:00004489n						
d001.s010.t063	d001.s010.t063	bn:00018141n	wiki:chemioterapia					
d001.s010.t065	d001.s010.t065	bn:00015180n	bn:00015910n	wiki:carcinoma	wiki:neoplasia#comportamento_biologico:_benignità_e_malignità			
